StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
1,5,1,5,5,3,3,3,3,3,1,1,1,1,4,4,4,4,4,4,5,5,5,5,1,2,4,4,4,4,1,1,4,4,5,4,3,4,3,4,2,2,3,3,3,4,4,4,2,3.5,1.5,3.571428571,5,3,4.5,3.833333333,3.7,1,1,Black/African American,1,A,4,2,4,Double Major,24
2,5,2,2,5,4,2,2,4,2,2,2,2,3,2,2,3,3,NA,3,5,5,4,4,3,5,4,4,4,4,2,2,4,3,3,4,4,4,4,4,1,1,4,4,4,4,4,4,1,4,2,2.666666667,4.5,4,4,3.666666667,4.3,1,5,Asian/Pacific Islander,1,A,3,3,4,Double Major,24
3,1,5,5,1,3,2,4,1,5,5,5,5,2,2,2,4,4,4,4,5,5,5,5,5,4,4,5,3,2,5,4,1,4,4,2,5,4,4,3,3,3,2,3,2,2,3,3,3,1.5,5,3.142857143,5,4.2,1.5,3.833333333,2.7,1,3,White,B,B,Junior,2.5,Psychology,Psychology,24
4,3,4,4,3,5,5,4,3,4,4,4,4,2,3,3,3,3,3,3,5,5,5,5,3,3,3,3,2,3,3,4,2,5,4,5,4,3,3,2,2,2,2,2,2,2,2,2,2,3.125,4,2.857142857,5,2.8,2.5,4,2.6,1,1,Black/African American,A,A,Senior,3.5,Biology/health studies,Double Major,25
5,2,5,2,2,3,1,5,2,4,4,4,4,1,1,1,3,1,3,2,5,5,5,5,5,2,5,5,5,2,4,3,1,4,5,4,4,2,4,4,1,2,3,4,4,3,4,3,1,2,4,1.714285714,5,4.4,2,3.833333333,3.9,3,4,Multiracial,D,D,senior,2.5,Health Promotion,Health Studies,23
6,4,5,2,4,3,2,3,3,4,4,4,4,3,3,3,5,3,5,4,5,5,5,5,4,3,4,4,4,2,4,4,2,2,2,2,1,3,3,2,4,4,3,2,1,3,3,3,3,3,4,3.714285714,5,3.8,2,2.166666667,2.4,2,4,Multiracial,B,B,Sophomore,2.5,Kinesiology,Kinesiology,23
7,4,2,3,3,2,2,2,2,5,3,1,4,2,2,2,3,4,2,2,5,5,5,5,5,4,4,4,3,4,4,2,3,3,4,4,3,3,3,4,3,5,2,4,4,2,3,2,3,3,3.25,2.428571429,5,4,3.25,3.333333333,2.8,1,2,Hispanic/Other Latinx,3,C,4,2.5,4,Double Major,21
8,3,2,2,3,2,3,5,1,4,4,4,4,3,4,3,3,5,3,3,5,5,5,5,2,2,2,3,5,4,2,2,4,4,4,3,2,3,3,2,4,4,3,3,3,3,3,2,3,2.625,4,3.428571429,5,2.8,4,3.166666667,2.6,1,1,Black/African American,B,B,Junior,2.5,Psychology,Psychology,22
9,1,5,5,1,2,1,5,1,5,4,3,2,1,5,5,3,1,3,5,5,5,2,3,5,4,5,4,5,2,4,4,1,4,3,3,3,2,1,3,2,1,3,3,1,4,3,2,2,1.125,3.5,3.285714286,3.75,4.6,1.75,2.666666667,3.2,1,3,White,2,B,4,2.5,1,Psychology,21
10,5,1,2,5,5,2,1,5,1,2,2,3,2,2,3,4,3,3,4,4,4,4,3,2,2,2,4,2,4,2,2,2,4,5,3,1,5,5,4,1,1,4,3,5,4,2,4,3,4.5,2,3,3.75,2.4,3.5,3.833333333,3.9,2,3,White,A,A,Senior,3.5,Psychology,Psychology,22
