Serial,Gender,Ethinicity,Minority,Deprived
1087360,Female or unknown,White,no,no
1088938,Female or unknown,Other or unknown,yes,no
1088953,Female or unknown,Other or unknown,yes,no
1088961,Female or unknown,Other or unknown,yes,no
1089147,Female or unknown,Other or unknown,yes,no
1089174,Female or unknown,Other or unknown,yes,no
1102723,Female or unknown,Other or unknown,yes,yes
1093996,Female or unknown,Other or unknown,yes,no
1094049,Female or unknown,White,no,no
1094067,Female or unknown,White,no,no
1097484,Female or unknown,Other or unknown,yes,yes
1097834,Female or unknown,Other or unknown,yes,no
1099121,Female or unknown,Other or unknown,yes,no
1099277,Female or unknown,White,no,no
1099645,Female or unknown,Other or unknown,yes,yes
1074769,Female or unknown,Other or unknown,yes,no
1074847,Female or unknown,Other or unknown,yes,no
1074858,Female or unknown,Other or unknown,yes,no
1074932,Female or unknown,Other or unknown,yes,no
1081918,Female or unknown,Other or unknown,yes,no
1092867,Female or unknown,Other or unknown,yes,yes
1102257,Female or unknown,Other or unknown,yes,no
1102259,Female or unknown,White,no,no
1104169,Female or unknown,White,no,no
1104181,Female or unknown,White,no,no
1108809,Female or unknown,Other or unknown,yes,no
1109048,Female or unknown,Other or unknown,yes,no
1111635,Female or unknown,Other or unknown,yes,yes
1114201,Female or unknown,Other or unknown,yes,no
1098927,Female or unknown,Other or unknown,yes,no
1104579,Female or unknown,Other or unknown,yes,no
1104614,Female or unknown,Other or unknown,yes,no
1104624,Female or unknown,Other or unknown,yes,no
1105780,Female or unknown,White,no,no
1105881,Female or unknown,Other or unknown,yes,no
1105914,Female or unknown,Other or unknown,yes,no
1106510,Female or unknown,Other or unknown,yes,yes
1115168,Female or unknown,Other or unknown,yes,yes
1118052,Female or unknown,Other or unknown,yes,no
1075826,Female or unknown,Other or unknown,yes,no
1075874,Female or unknown,Other or unknown,yes,no
1075936,Female or unknown,White,no,no
1076030,Female or unknown,White,no,no
1078265,Female or unknown,Other or unknown,yes,no
1078324,Female or unknown,Other or unknown,yes,no
1078384,Female or unknown,Other or unknown,yes,no
1078428,Female or unknown,Other or unknown,yes,no
1078514,Female or unknown,Other or unknown,yes,no
1086277,Female or unknown,Other or unknown,yes,yes
1089298,Female or unknown,Other or unknown,yes,yes
1108737,Female or unknown,Other or unknown,yes,no
1081145,Female or unknown,Other or unknown,yes,no
1081165,Female or unknown,White,no,no
1081170,Female or unknown,White,no,no
1081182,Female or unknown,White,no,no
1082848,Female or unknown,Other or unknown,yes,no
1108238,Female or unknown,Other or unknown,yes,yes
1111452,Female or unknown,Other or unknown,yes,yes
1113005,Female or unknown,White,no,yes
1113006,Female or unknown,Other or unknown,yes,yes
1113013,Female or unknown,Other or unknown,yes,yes
1118366,Female or unknown,Other or unknown,yes,no
1118486,Female or unknown,Other or unknown,yes,no
1118555,Female or unknown,Other or unknown,yes,no
1119072,Female or unknown,Other or unknown,yes,no
1119398,Female or unknown,Other or unknown,yes,yes
1119414,Female or unknown,White,no,yes
1120110,Female or unknown,Other or unknown,yes,yes
1096123,Female or unknown,Other or unknown,yes,no
1096137,Female or unknown,Other or unknown,yes,no
1096159,Female or unknown,White,no,no
1096223,Female or unknown,Other or unknown,yes,no
1096243,Female or unknown,Other or unknown,yes,no
1096315,Female or unknown,Other or unknown,yes,no
1100422,Female or unknown,Other or unknown,yes,no
1100455,Female or unknown,Other or unknown,yes,no
1101989,Female or unknown,White,no,yes
1102013,Female or unknown,White,no,yes
1109680,Female or unknown,Other or unknown,yes,no
1109685,Female or unknown,Other or unknown,yes,no
1111484,Female or unknown,Other or unknown,yes,yes
1111498,Female or unknown,Other or unknown,yes,yes
1114684,Female or unknown,Other or unknown,yes,no
1114862,Female or unknown,Other or unknown,yes,no
1114994,Female or unknown,Other or unknown,yes,no
1114996,Female or unknown,Other or unknown,yes,no
1115025,Female or unknown,Other or unknown,yes,no
1115627,Female or unknown,Other or unknown,yes,no
1115638,Female or unknown,Other or unknown,yes,no
1115677,Female or unknown,Other or unknown,yes,no
1115911,Female or unknown,Other or unknown,yes,no
1118113,Female or unknown,Other or unknown,yes,yes
1118670,Female or unknown,Other or unknown,yes,yes
