Serial,Watch_wk,Watch_we,Comp_wk,Comp_we,Comph_wk,Comph_we,Smart_wk,Smart_we
1000002,0.5,1,0,0,0.5,0.5,0.5,1
1000003,2,3,0,0,0.5,1,2,2
1000004,2,3,0,2,1,3,2,3
1000005,5,7,0,0,2,4,3,4
1000006,0.5,1,0,0,0.5,1,2,2
1000007,2,3,1,3,5,3,0.5,1
1000008,4,5,0.5,1,2,3,1,2
1000009,2,5,0.5,1,1,3,1,2
1000010,2,3,0,0,1,1,3,4
1000011,0.5,4,0,0,1,2,3,5
1000012,7,7,0.5,2,7,7,7,7
1000013,0,0,2,4,6,7,1,0.5
1000015,2,4,0,0.5,1,2,0,0.5
1000016,2,4,0,0,1,0,4,4
1000017,5,7,0,1,4,2,3,3
1000018,6,7,4,7,2,0,3,7
1000019,3,4,1,5,0.5,1,1,1
1000020,3,4,0.5,0.5,2,1,3,3
1000021,0,1,7,7,7,7,3,4
1000022,3,4,0,0,0,1,3,5
1000023,1,4,0.5,2,0.5,1,3,5
1000024,4,5,3,4,2,3,3,4
1000025,2,3,1,3,0,0,2,4
1000026,4,4,0,0,0.5,0.5,6,6
1000027,2,4,1,1,3,4,2,3
1000028,2,4,1,2,4,5,5,7
1000029,0,1,0,0,0,0,2,3
1000030,2,5,0,1,3,2,2,3
1000031,2,3,0.5,1,2,3,1,2
1000032,3,3,0,0,1,1,4,5
1000033,1,3,0,0,2,5,2,5
1000034,2,2,0,0,3,2,6,7
1000035,3,3,0,0,3,4,1,1
1000036,2,2,0,0,5,7,1,1
1000037,0.5,1,0,0,1,0.5,2,2
1000038,2,5,0,0,0.5,0.5,2,5
1000039,4,5,0,0,5,4,4,5
1000040,4,5,0,0,1,2,1,3
1000041,1,2,0,0,4,5,2,3
1000042,0.5,1,0,0,4,5,0.5,1
1000043,5,6,0,0,4,5,0.5,1
1000044,5,7,0.5,1,4,5,0.5,1
1000045,2,4,0,1,2,2,2,6
1000046,1,1,0,0,1,1,1,1
1000048,2,2,0,0,0.5,1,3,3
1000049,0.5,1,0,0,3,3,2,2
1000050,0.5,0.5,0,0,0,0,1,1
1000051,0.5,1,0,0,4,5,2,2
1000052,1,2,0,0,4,4,2,3
1000053,1,0,0,0,1,1,2,1
1000054,2,3,0.5,1,2,3,0.5,0.5
1000055,5,4,0,0,3,4,6,6
1000056,5,5,0,0,2,2,4,6
1000057,4,4,0,0,3,5,3,4
1000058,0.5,1,0,0,2,2,1,2
1000059,2,4,0,0,1,0,0,0
1000060,3,5,0,0.5,4,2,1,1
1000061,1,2,0,0,0.5,1,3,4
1000062,2,4,0,0,7,7,7,7
1000063,2,3,0,0,1,2,2,2
1000064,1,1,0,0,2,2,6,6
1000065,2,3,0,0,1,0.5,3,4
1000066,1,3,0,0,3,4,1,2
1000067,2,3,0,0,6,7,0.5,0.5
1000068,2,2,0,0,2,2,1,1
1000069,4,4,0,0,3,4,1,2
1000070,1,3,0,0,3,4,3,4
1000071,3,1,0,0,4,2,5,5
1000072,5,5,0.5,0.5,5,4,7,7
1000073,5,7,0,0.5,4,7,4,5
1000074,3,3,0,0,2,0.5,3,2
1000075,0,2,0,0,0,0,0.5,0.5
1000076,5,7,0,1,5,5,6,7
1000077,2,3,0.5,1,2,3,2,4
1000078,1,3,0,0,3,4,4,6
1000079,2,4,0,0,3,5,2,4
1000080,4,6,0,0,3,5,3,4
1000081,0.5,2,0,0,0,0,4,7
1000082,3,4,0,0,2,2,2,2
1000083,2,3,0,0,0.5,0.5,3,5
1000084,2,4,0,0,1,3,2,4
1000085,3,3,0,0,2,0.5,2,3
1000086,0.5,2,0,0.5,3,5,1,1
1000087,3,4,0,0,0,2,4,5
1000089,3,4,0,0,2,3,7,7
1000090,0,0,0,0.5,0.5,0.5,0.5,1
1000091,3,4,0,0.5,2,2,2,3
1000092,2,4,0,0,1,1,2,3
1000093,1,1,0,0,3,3,3,3
1000094,3,1,0,0,1,0.5,6,6
1000095,2,4,0,0.5,2,4,2,3
1000096,0.5,0.5,0,1,1,1,3,4
1000098,2,3,0,0,2,2,3,3
1000099,2,3,0,0,2,2,2,2
1000100,2,2,0,0,0,0,4,7
1000101,1,3,0.5,0,2,4,2,2
1000102,3,0.5,0,0,0,0,6,5
1000103,4,5,0,0,4,2,2,3
1000104,2,4,0,0.5,1,2,2,5
1000105,0.5,1,0,0,3,6,0.5,1
1000106,1,3,0,0,4,4,5,7
1000107,0.5,1,0,0.5,0.5,2,1,2
1000108,0.5,1,0,0,3,3,1,2
1000109,1,2,0,0,3,3,2,3
1000110,3,6,0,0,0,0.5,0,0.5
1000111,1,1,0,0,2,2,0.5,1
1000112,4,5,0,0,5,6,7,7
1000113,1,3,0,1,1,2,0,0
1000114,4,5,0,0,2,4,0,4
1000115,4,5,0,0,4,5,1,2
1000116,3,3,0,0,0,0,6,7
1000117,1,2,0,0.5,2,1,1,2
1000118,6,7,0,0,1,1,7,7
1000119,1,3,0,0.5,3,3,1,1
1000121,0,1,0,0,2,2,0,0
1000123,3,4,0,0,1,2,6,6
1000124,2,4,0,0,4,6,5,7
1000125,2,3,0,0,2,3,2,3
1000126,2,2,0,0,2,3,4,5
1000127,0.5,3,0,0,1,0.5,1,3
1000128,1,3,0,0,2,3,2,2
1000129,1,3,0.5,0,1,1,1,1
1000130,3,4,0,0.5,1,1,3,4
1000131,3,4,0.5,1,1,2,0,0
1000132,0,0.5,0,0,0.5,1,1,2
1000133,1,4,0,0,3,4,0.5,2
1000134,0,2,0,0,4,5,0,0
1000135,0,1,0,0,0.5,0.5,3,4
1000136,7,7,3,3,3,3,2,2
1000137,2,3,0,0,2,3,3,5
1000138,0.5,2,0,0,3,4,0.5,0.5
1000139,0,0,0,0,1,2,1,3
1000142,1,3,0,0,0.5,1,0.5,0.5
1000143,2,3,0.5,0.5,2,2,1,2
1000144,0.5,0.5,0,0,3,3,1,2
1000145,3,5,0.5,1,2,4,4,5
1000146,2,3,0,0,0.5,1,1,3
1000147,4,5,0,0,7,5,2,3
1000148,1,3,0,0,0,0.5,6,7
1000149,3,5,1,3,0,0.5,1,3
1000150,1,3,0,0.5,0.5,0.5,0.5,0.5
1000151,2,3,0,0,3,4,2,2
1000152,3,7,0,2,2,3,3,4
1000153,2,3,0,0,2,3,2,4
1000154,2,2,0,0,3,4,1,2
1000155,4,3,0,0,4,2,5,5
1000156,1,1,0,0,1,0.5,5,5
1000157,1,4,0,0,4,5,1,1
1000158,2,4,0,0,1,3,0,0
1000159,4,5,0,0,3,5,6,6
1000160,2,3,0,0,2,2,3,4
1000161,0.5,4,0,0,1,2,4,7
1000162,1,2,0,0,2,1,2,2
1000163,0.5,2,0,0,0.5,0.5,1,1
1000164,3,4,0,0,2,3,6,5
1000165,2,3,0,0,4,2,1,2
1000167,1,1,0,0,1,1,2,5
1000168,2,3,0,0,2,3,3,4
1000169,4,4,0,0,2,3,6,5
1000170,2,2,0,0,1,0.5,2,2
1000171,0.5,1,0,0,0.5,0.5,2,4
1000172,3,3,0.5,0.5,0.5,0,2,2
1000173,1,2,0,0,2,2,2,2
1000174,0.5,0.5,0,0,3,1,0.5,0.5
1000175,3,0.5,0,0,1,0,3,0.5
1000176,2,4,0,0,0.5,2,0,0
1000177,0.5,1,0,0,2,4,2,3
1000178,1,1,0,0,2,2,0.5,0.5
1000179,3,4,0,0,0,0,3,4
1000180,3,4,0,0,6,7,0.5,1
1000181,1,3,0,0,5,5,0.5,0.5
1000182,6,6,0,0,7,7,6,6
1000183,1,2,0,0,2,7,0,0
1000184,3,2,0,0.5,0.5,1,3,3
1000185,1,1,0,0,0.5,0.5,7,7
1000186,1,2,0,0,1,1,0.5,1
1000187,4,5,0,0,2,1,2,3
1000188,0,2,0,0,3,5,2,2
1000189,3,4,0,0,2,3,4,6
1000190,3,4,0,0,0,0.5,3,3
1000191,2,4,0,1,2,3,5,7
1000192,5,5,0.5,0.5,2,3,5,5
1000193,3,3,0,2,3,3,1,2
1000194,0,0.5,0,0,2,2,0,0.5
1000195,6,7,0,0,2,2,3,4
1000196,2,2,0.5,0.5,2,3,2,3
1000197,4,4,0,0,0.5,0.5,4,4
1000198,1,2,0,0,0.5,0,2,4
1000199,7,5,3,5,2,2,7,7
1000200,4,6,0,0,5,6,4,6
1000201,1,2,0,0,3,1,1,2
1000202,1,3,0,0,1,2,1,3
1000203,4,5,0,0,0,0,7,7
1000204,4,3,0,0,1,2,3,3
1000205,3,4,0,0,3,3,5,6
1000206,0.5,0.5,1,2,4,7,2,3
1000207,2,0,0,0,2,4,7,7
1000208,1,1,0,0,2,3,2,2
1000209,2,4,0,0,3,2,4,6
1000210,3,4,0,0.5,4,4,2,3
1000211,3,6,0,0,0,0,0,0
1000212,4,6,0,0,0,0,7,7
1000213,1,3,0,0,0.5,2,2,4
1000214,4,6,0,0,2,2,4,5
1000215,1,2,0,0,1,2,1,1
1000216,0.5,2,0,0,2,1,2,2
1000217,1,2,0,0.5,2,3,1,1
1000218,2,1,0,0,2,3,0.5,1
1000219,4,5,0,0,2,3,1,3
1000220,0,1,0,0,0.5,1,6,6
1000221,5,4,0,0,3,0.5,7,7
1000222,1,2,0.5,2,1,3,7,7
1000223,2,3,0,0,0.5,2,3,4
1000224,4,6,0,0,0.5,1,1,1
1000225,0.5,2,0,0,0.5,0,1,2
1000226,0,2,0,0,2,3,0,0
1000227,2,1,0,0,0.5,0,1,3
1000228,7,7,0,0.5,0,0.5,7,7
1000229,2,4,0,0,1,2,2,2
1000230,1,2,0,0,3,5,0,0
1000231,2,1,0,0,0.5,0.5,1,1
1000232,4,7,4,0.5,4,3,2,3
1000234,3,3,0,0,1,0.5,2,3
1000235,0.5,3,0,0,1,3,2,4
1000236,0.5,2,0,0.5,2,3,2,4
1000237,0.5,2,0,0.5,2,2,2,3
1000238,0.5,2,0,0,1,1,1,1
1000239,3,3,0,0,1,0.5,7,7
1000240,1,4,0.5,1,2,2,7,7
1000241,5,7,0,0,6,4,7,7
1000242,1,2,0.5,1,2,2,1,2
1000243,4,7,0,0,0,0,3,4
1000244,1,2,0,0,3,3,2,3
1000245,4,3,3,3,2,3,2,2
1000246,1,3,0,0,2,4,0.5,1
1000247,3,6,1,2,1,1,6,6
1000248,3,3,0,0.5,3,2,4,5
1000249,0.5,2,0,0,3,2,0.5,1
1000250,1,2,0,0,0.5,0.5,1,4
1000251,2,5,0,2,1,2,1,1
1000252,2,2,0,0,0.5,1,2,4
1000253,1,2,0,0,0.5,1,0.5,1
1000254,3,1,0.5,1,4,2,3,2
1000255,5,7,0,0,4,5,5,7
1000256,0,1,0,0.5,3,4,0.5,1
1000257,0.5,1,0,0,2,3,5,7
1000258,0.5,2,0,0,1,2,0.5,1
1000259,2,5,2,5,1,2,3,6
1000260,5,4,0,0,0.5,0.5,5,7
1000261,1,3,0,0.5,5,5,7,7
1000262,2,4,0,0,3,5,3,6
1000263,2,2,0,0.5,2,4,0.5,0.5
1000264,6,7,2,2,5,6,6,7
1000265,2,3,0.5,0.5,2,3,1,2
1000266,1,3,0,0,0.5,0.5,0.5,0.5
1000267,1,3,0,0.5,3,3,1,5
1000268,2,3,0,0.5,2,2,6,6
1000269,3,4,0,0,1,3,2,2
1000270,0.5,3,0.5,0.5,3,4,3,4
1000271,1,2,0,0,1,3,2,2
1000272,1,2,0,0,1,4,2,2
1000273,2,4,0,0,0,0.5,2,4
1000274,2,3,0,3,0.5,0.5,0,0
1000275,3,5,0,0,4,5,5,6
1000276,4,7,0,0,2,3,4,7
1000277,0,1,0.5,0,3,6,0,0
1000278,0.5,2,0,0,1,2,1,1
1000279,3,4,0,0,2,3,2,3
1000280,1,3,0,0,1,1,5,6
1000281,2,4,0,0,2,2,5,5
1000282,3,4,0,0,2,0,5,6
1000283,3,3,0,0,2,3,3,7
1000284,0.5,1,0,0,2,3,2,3
1000285,1,1,0,0,0.5,0.5,5,5
1000286,2,3,0,0,2,3,1,2
1000287,3,4,0,0,3,4,4,4
1000288,5,7,0,0,7,7,7,7
1000289,2,2,0,0,0,0,2,5
1000290,5,7,0,0,2,2,7,7
1000291,2,4,1,2,3,5,4,6
1000292,1,2,0,0,0.5,0.5,1,2
1000293,5,4,0,0,0.5,4,4,6
1000294,4,3,0,0,1,1,2,1
1000295,2,4,0,0.5,1,2,0.5,1
1000296,1,2,0,0,0.5,0.5,1,2
1000297,0.5,0,0,0,2,3,1,1
1000298,1,2,0.5,0,0,0,5,7
1000299,2,3,0,0,2,2,1,1
1000300,2,3,0,0.5,1,2,4,4
