Gender,Year,Age,T1_Ord_PredT2_Curious,T1_Ord_PredT2_Enjoy,T1_Ord_PredT2_Interesting,T1_Ord_PredT2_Meaningful,T1_Ord_PredT2_Surprise,T1_Ord_Extraord,T1_Extra_PredT2_Curious,T1_Extra_PredT2_Enjoy,T1_Extra_PredT2_Interesting,T1_Extra_PredT2_Meaningful,T1_Extra_PredT2_Surprise,T1_Extra_Extraord,T2_Finished,Condition,T2_Curious,T2_Enjoy,T2_Interesting,T2_Meaningful,T2_Surprise,T2_Extraord,T2_Detailed,T2_Memory,T1_Pred_Curious,T1_Pred_Enjoy,T1_Pred_Interesting,T1_Pred_Meaningful,T1_Pred_Surprise,T1_Extraord,T1_Pred_Interest_Comp,T2_Interest_Comp,Interest_Comp_Diff
Male,1988,26,2,2,2,2,2,3,2,3,3,3,3,2,No, , , , , , , , , ,2,2,2,2,2,3,2,,
Male,1988,26,4,5,5,5,4,6,5,6,6,6,3,3,No, , , , , , , , , ,4,5,5,5,4,6,4.75,,
Female,1986,28,2,2,3,4,2,2,4,2,6,2,2,5,No, , , , , , , , , ,2,2,3,4,2,2,2.75,,
Female,1992,22,1,2,4,1,1,1,2,3,5,4,1,5,No, , , , , , , , , ,1,2,4,1,1,1,2,,
 , , , , , , , , ,1,1,2,1,1,6,No, , , , , , , , , , , , , , , ,1.25,,
Female,1988,26,6,6,7,7,4,6,6,5,7,7,3,6,No, , , , , , , , , ,6,6,7,7,4,6,6,,
Female,1993,21,6,4,6,4,4,4,6,4,6,4,6,4,No, , , , , , , , , ,6,4,6,4,4,4,4.5,,
Female,1989,25,4,4,7,4,1,4,4,4,4,4,4,3,No, , , , , , , , , ,4,4,7,4,1,4,4,,
Male,1987,27,5,5,4,6,3,2,4,4,4,3,4,3,No, , , , , , , , , ,5,5,4,6,3,2,4.5,,
Female,1992,22,3,5,6,5,3,2,7,5,6,4,4,5,No, , , , , , , , , ,3,5,6,5,3,2,4.75,,
Male,1989,25,5,4,6,4,2,2,3,5,6,5,2,4,No, , , , , , , , , ,5,4,6,4,2,2,4,,
Female,1993,21,4,5,6,4,2,2,5,3,6,5,2,3,No, , , , , , , , , ,4,5,6,4,2,2,4.25,,
Male,1987,27,7,5,6,5,5,2,4,4,5,4,4,4,No, , , , , , , , , ,7,5,6,5,5,2,5.25,,
Female,1990,24,5,6,6,5,4,3,6,6,7,6,3,5,No, , , , , , , , , ,5,6,6,5,4,3,5.25,,
Female,1988,26,5,4,6,4,4,5,4,5,6,4,4,5,No, , , , , , , , , ,5,4,6,4,4,5,4.5,,
Female,1990,24,4,5,5,4,4,2,4,4,4,4,4,3,No, , , , , , , , , ,4,5,5,4,4,2,4.5,,
Female,1992,22,1,2,2,1,1,7,2,2,2,2,1,7,No, , , , , , , , , ,1,2,2,1,1,7,1.5,,
Male,1990,24,5,5,6,5,5,5,5,5,6,5,2,5,No, , , , , , , , , ,5,5,6,5,5,5,5.25,,
Female,1992,22,4,1,4,4,4,1,2,3,5,3,3,3,Yes,Ordinary,5,1,7,4,6,5,7,2,4,1,4,4,4,1,3.25,4.5,1.25
Male,1991,23,2,2,2,2,2,3,2,1,6,2,4,2,Yes,Ordinary,2,1,3,1,1,2,2,13,2,2,2,2,2,3,2,1.5,-0.5
Female,1988,26,4,4,6,6,4,1,4,4,5,4,3,3,Yes,Ordinary,2,7,7,5,7,4,6,17,4,4,6,6,4,1,5,6.5,1.5
Male,1993,21,1,2,3,2,2,1,2,2,5,5,2,2,Yes,Ordinary,2,2,7,2,5,3,7,40,1,2,3,2,2,1,2.25,4,1.75
Female,1988,26,7,7,7,7,5,5,7,7,7,7,7,7,Yes,Ordinary,7,7,7,7,7,6,7,61,7,7,7,7,5,5,6.5,7,0.5
Female,1993,21,4,6,6,6,5,2,6,5,6,6,4,3,Yes,Ordinary,7,6,6,6,4,2,1,75,4,6,6,6,5,2,5.75,5.5,-0.25
Female,1991,23,4,4,6,4,3,2,4,4,4,5,2,5,Yes,Ordinary,4,5,6,5,6,5,3,29,4,4,6,4,3,2,4.25,5.5,1.25
Female,1988,26,4,5,6,4,1,3,4,4,6,6,3,6,Yes,Ordinary,5,6,7,6,5,4,6,50,4,5,6,4,1,3,4,6,2
Male,1993,21,3,3,5,5,2,4,4,5,7,5,1,5,Yes,Ordinary,4,6,7,6,2,5,4,83,3,3,5,5,2,4,3.75,5.25,1.5
Female,1992,22,3,4,4,6,3,6,7,3,7,5,3,3,Yes,Ordinary,6,6,7,4,7,2,7,1,3,4,4,6,3,6,4.25,6,1.75
Female,1992,22,5,5,6,5,3,3,6,6,6,6,2,5,Yes,Ordinary,6,5,6,5,4,4,4,5,5,5,6,5,3,3,4.75,5,0.25
Female,1988,26,2,2,3,1,1,1,2,2,3,2,2,2,Yes,Ordinary,4,4,4,4,4,4,4,67,2,2,3,1,1,1,1.75,4,2.25
Female,1982,32,4,3,5,4,1,1,4,3,5,4,2,5,Yes,Ordinary,4,5,7,5,6,5,4,27,4,3,5,4,1,1,3.25,5.75,2.5
Female,1988,26,6,6,6,6,5,3,4,4,3,4,3,2,Yes,Ordinary,4,4,5,3,4,5,7,29,6,6,6,6,5,3,5.75,4,-1.75
Male,1994,20,2,4,4,4,3,5,4,4,5,5,3,3,Yes,Ordinary,5,3,6,4,5,3,2,11,2,4,4,4,3,5,3.75,4.5,0.75
Male,1992,22,6,5,6,4,5,2,5,6,6,6,2,5,No,Ordinary,3, , , , , , , ,6,5,6,4,5,2,5, , 
Male,1987,27,5,5,5,5,3,5,6,6,6,4,3,5,Yes,Ordinary,4,6,6,4,6,6,6,15,5,5,5,5,3,5,4.5,5.5,1
Female,1992,22,4,1,5,2,3,3,4,4,4,4,4,4,Yes,Ordinary,4,2,7,5,6,6,7,3,4,1,5,2,3,3,2.75,5,2.25
Female,1993,21,3,4,5,4,1,1,5,6,7,6,2,6,Yes,Ordinary,4,4,4,4,4,4,4,29,3,4,5,4,1,1,3.5,4,0.5
Male,1991,23,5,5,5,6,4,5,6,5,6,5,2,5,Yes,Ordinary,6,5,6,6,3,5,5,87,5,5,5,6,4,5,5,5,0
Female,1990,24,2,2,4,3,1,2,4,3,6,5,2,7,Yes,Ordinary,4,5,6,5,3,5,7,60,2,2,4,3,1,2,2.5,4.75,2.25
Female,1990,24,6,6,6,6,3,4,6,6,6,6,6,5,Yes,Ordinary,5,7,7,6,2,4,6,74,6,6,6,6,3,4,5.25,5.5,0.25
Female,1992,22,6,4,4,5,4,5,7,7,7,7,4,7,Yes,Ordinary,2,2,7,4,7,3,5,2,6,4,4,5,4,5,4.25,5,0.75
Female,1994,20,3,5,6,4,5,2,4,5,5,4,3,4,Yes,Ordinary,5,3,4,4,4,2,4,10,3,5,6,4,5,2,5,3.75,-1.25
Female,1991,23,2,2,2,2,2,1,3,3,5,3,2,3,Yes,Ordinary,2,5,5,6,6,5,4,32,2,2,2,2,2,1,2,5.5,3.5
Male,1988,26,3,3,5,3,3,1,4,3,3,3,5,5,Yes,Ordinary,2,5,5,5,3,5,2,40,3,3,5,3,3,1,3.5,4.5,1
Female,1990,24,4,5,2,6,5,2,4,6,3,5,2,5,Yes,Ordinary,5,5,3,4,6,2,4,15,4,5,2,6,5,2,4.5,4.5,0
Male,1990,24,1,1,1,2,2,1,4,3,7,3,2,4,Yes,Ordinary,4,2,2,1,4,1,6,1,1,1,1,2,2,1,1.5,2.25,0.75
Male,1993,21,6,6,6,6,2,3,5,6,7,6,2,5,Yes,Ordinary,6,7,6,6,3,5,6,32,6,6,6,6,2,3,5,5.5,0.5
Male,1989,25,1,6,6,3,2,3,2,1,2,2,3,5,Yes,Ordinary,5,3,2,5,3,4,4,3,1,6,6,3,2,3,4.25,3.25,-1
Female,1993,21,1,4,3,4,1,5,4,4,5,4,1,7,Yes,Ordinary,5,7,7,7,4,4,4,60,1,4,3,4,1,5,3,6.25,3.25
Female,1988,26,2,6,7,6,3,5,5,4,6,5,2,5,Yes,Ordinary,1,4,4,4,4,4,4,35,2,6,7,6,3,5,5.5,4,-1.5
Female,1988,26,4,3,5,4,2,3,6,7,7,5,1,6,Yes,Ordinary,4,1,4,2,1,4,4,27,4,3,5,4,2,3,3.5,2,-1.5
Female,1988,26,4,4,7,2,1,1,3,4,6,3,2,3,Yes,Ordinary,4,3,5,3,1,1,4,79,4,4,7,2,1,1,3.5,3,-0.5
Male,1987,27,2,3,3,3,2,4,2,2,6,5,3,4,Yes,Ordinary,5,5,6,5,5,5,5,73,2,3,3,3,2,4,2.75,5.25,2.5
Male,1992,22,4,5,3,6,2,2,4,3,3,5,3,4,Yes,Ordinary,4,3,6,5,5,4,5,30,4,5,3,6,2,2,4,4.75,0.75
Female,1990,24,4,5,7,6,1,3,4,6,7,6,6,4,Yes,Ordinary,4,7,7,7,6,5,4,50,4,5,7,6,1,3,4.75,6.75,2
Female,1988,26,4,5,6,5,3,2,4,4,6,4,2,4,Yes,Ordinary,4,6,6,4,5,4,2,30,4,5,6,5,3,2,4.75,5.25,0.5
Female,1988,26,3,5,5,5,1,2,5,5,6,5,2,7,Yes,Ordinary,5,7,6,6,5,5,6,1,3,5,5,5,1,2,4,6,2
Female,1985,29,5,6,6,5,2,3,3,5,6,5,3,4,Yes,Ordinary,5,6,6,6,6,3,5,12,5,6,6,5,2,3,4.75,6,1.25
Female,1989,25,4,7,7,7,2,4,7,4,7,4,2,3,Yes,Ordinary,7,7,7,7,1,5,6,30,4,7,7,7,2,4,5.75,5.5,-0.25
Female,1990,24,4,1,6,2,3,2,4,3,5,5,1,2,Yes,Ordinary,5,4,3,3,1,3,4,81,4,1,6,2,3,2,3,2.75,-0.25
Female,1988,26,2,4,5,4,1,3,2,6,4,4,2,3,Yes,Ordinary,4,6,7,4,4,3,6,60,2,4,5,4,1,3,3.5,5.25,1.75
 ,1986,28,3,2,3,3,4,4,3,5,6,2,5, ,Yes,Ordinary,6,5,5,3,4,4,5,48,3,2,3,3,4,4,3,4.25,1.25
Female,1993,21,4,5,6,5,2,4,5,5,6,6,3,7,Yes,Ordinary,6,7,7,6,4,5,5,0,4,5,6,5,2,4,4.5,6,1.5
Female,1973,41,5,4,6,5,3,2,4,1,6,4,2,4,Yes,Ordinary,5,2,4,2,2,3,3,30,5,4,6,5,3,2,4.5,2.5,-2
Female,1988,26,4,4,5,4,1,3,4,4,4,4,3,3,Yes,Ordinary,4,6,6,5,4,3,5,4,4,4,5,4,1,3,3.5,5.25,1.75
Male,1988,26,4,5,6,6,6,2,6,6,7,7,7,5,Yes,Ordinary,6,7,6,7,6,1,5,50,4,5,6,6,6,2,5.75,6.5,0.75
Female,1988,26,5,5,4,5,1,1,5,5,5,5,3,3,Yes,Ordinary,5,5,6,5,2,3,5,12,5,5,4,5,1,1,3.75,4.5,0.75
Male,1990,24,5,5,3,3,2,2,5,5,5,5,5,6,Yes,Ordinary,4,3,2,1,3,4,3,1,5,5,3,3,2,2,3.25,2.25,-1
Female,1994,20,5,7,7,6,2,5,5,4,6,5,4,4,Yes,Ordinary,6,6,7,6,4,6,5,54,5,7,7,6,2,5,5.5,5.75,0.25
Male,1995,19,2,3,5,3,2,1,5,5,5,5,3,4,Yes,Ordinary,1,2,4,2,2,4,5,71,2,3,5,3,2,1,3.25,2.5,-0.75
Female,1991,23,6,6,6,6,4,4,5,6,6,6,4,5,Yes,Ordinary,3,3,6,4,3,5,4,14,6,6,6,6,4,4,5.5,4,-1.5
Female,1992,22,2,4,5,3,3,1,2,3,3,3,3,3,Yes,Ordinary,2,5,6,3,2,2,4,30,2,4,5,3,3,1,3.75,4,0.25
Female,1988,26,4,3,5,3,3,2,4,6,7,4,3,3,Yes,Ordinary,5,5,6,5,3,4,6,30,4,3,5,3,3,2,3.5,4.75,1.25
Female,1988,26,4,3,4,3,1,1,5,5,5,5,3,5,Yes,Ordinary,2,3,4,4,4,3,5,14,4,3,4,3,1,1,2.75,3.75,1
Female,1994,20,4,7,7,7,1,2,7,7,7,7,1,1,Yes,Ordinary,4,4,5,4,4,4,2,57,4,7,7,7,1,2,5.5,4.25,-1.25
Female,1993,21,4,5,5,5,2,2,5,5,7,6,3,6,Yes,Ordinary,4,4,4,3,3,4,5,51,4,5,5,5,2,2,4.25,3.5,-0.75
Male,1989,25,6,6,3,6,2,5,2,4,3,5,2,4,Yes,Ordinary,5,7,7,7,1,5,7,1,6,6,3,6,2,5,4.25,5.5,1.25
Female,1992,22,4,4,6,3,4,4,4,6,7,3,3,5,Yes,Ordinary,6,6,7,6,5,5,5,40,4,4,6,3,4,4,4.25,6,1.75
Female,1987,27,3,4,5,4,1,4,4,5,6,4,1,5,Yes,Ordinary,5,6,6,5,3,5,2,66,3,4,5,4,1,4,3.5,5,1.5
Female,1987,27,4,4,4,6,2,2,5,5,7,6,4,5,Yes,Ordinary,6,7,6,7,4,3,3,41,4,4,4,6,2,2,4,6,2
Female,1991,23,5,6,6,5,4,3,5,5,6,6,3,4,Yes,Ordinary,6,6,7,6,5,5,5,20,5,6,6,5,4,3,5.25,6,0.75
Male,1992,22,3,4,6,3,4,2,2,2,4,2,2,1,Yes,Ordinary,6,5,5,5,5,4,6,6,3,4,6,3,4,2,4.25,5,0.75
Female,1988,26,4,4,5,4,4,1,4,6,6,6,2,4,Yes,Ordinary,2,5,3,4,4,4,4,26,4,4,5,4,4,1,4.25,4,-0.25
Female,1994,20,5,5,6,6,4,3,4,4,5,4,3,4,Yes,Extraordinary,3,3,4,5,5,4,3,40,4,4,5,4,3,4,4,4.25,0.25
Female,1988,26,4,3,5,4,3,2,3,3,4,3,2,2,Yes,Extraordinary,2,3,5,3,4,3,3,40,3,3,4,3,2,2,3,3.75,0.75
Female,1993,21,3,5,4,5,2,2,5,5,7,6,4,7,Yes,Extraordinary,4,7,7,7,5,6,6,32,5,5,7,6,4,7,5.5,6.5,1
Female,1994,20,4,5,7,4,4,1,5,5,7,5,1,4,Yes,Extraordinary,5,6,7,5,3,4,2,1,5,5,7,5,1,4,4.5,5.25,0.75
Male,1994,20,5,4,4,5,4,3,4,5,6,5,4,5,Yes,Extraordinary,5,4,5,4,3,6,4,58,4,5,6,5,4,5,5,4,-1
Male,1988,26,5,5,5,4,4,4,5,4,4,3,4,4,Yes,Extraordinary,6,4,4,4,2,3,6,41,5,4,4,3,4,4,3.75,3.5,-0.25
Female,1990,24,4,5,5,5,3,4,5,5,4,6,3,6,Yes,Extraordinary,4,5,5,5,3,5,5,69,5,5,4,6,3,6,4.5,4.5,0
Male,1983,31,2,3,3,4,1,5,2,2,3,2,1,5,Yes,Extraordinary,2,5,7,1,1,5,3,93,2,2,3,2,1,5,2,3.5,1.5
Male,1990,24,1,2,4,1,1,2,1,1,1,1,1,5,Yes,Extraordinary,2,1,2,1,1,5,3,11,1,1,1,1,1,5,1,1.25,0.25
Female,1992,22,4,1,5,4,1,5,4,2,6,2,2,5,Yes,Extraordinary,4,1,7,4,4,5,4,74,4,2,6,2,2,5,3,4,1
Male,1984,30,6,7,7,7,2,5,6,6,6,6,2,7,Yes,Extraordinary,6,6,5,6,5,5,5,76,6,6,6,6,2,7,5,5.5,0.5
Female,1988,26,1,5,2,4,1,1,2,4,6,2,2,3,Yes,Extraordinary,1,2,4,2,3,3,4,66,2,4,6,2,2,3,3.5,2.75,-0.75
Female,1992,22,3,2,3,2,4,5,4,5,4,4,4,5,No,Extraordinary, , , , , , , , ,4,5,4,4,4,5,4.25, , 
Female,1987,27,3,4,4,4,4,1,4,3,4,4,3,5,Yes,Extraordinary,5,4,5,4,5,5,2,35,4,3,4,4,3,5,3.5,4.5,1
Female,1988,26,6,6,6,6,5,6,5,6,6,6,2,6,Yes,Extraordinary,4,6,7,7,4,6,7,48,5,6,6,6,2,6,5,6,1
Female,1992,22,3,3,5,4,3,4,1,3,5,3,1,3,Yes,Extraordinary,6,4,3,5,4,4,3,10,1,3,5,3,1,3,3,4,1
Female,1982,32,6,5,7,7,1,4,6,6,7,6,1,2,Yes,Extraordinary,4,6,7,6,7,5,6,5,6,6,7,6,1,2,5,6.5,1.5
Female,1994,20,4,3,4,5,2,3,3,5,4,5,3,5,Yes,Extraordinary,3,4,6,5,5,5,5,22,3,5,4,5,3,5,4.25,5,0.75
Male,1991,23,6,7,7,7,3,2,7,7,7,7,3,4,Yes,Extraordinary,7,7,7,7,4,5,6,22,7,7,7,7,3,4,6,6.25,0.25
Male,1990,24,5,5,7,6,3,3,4,6,7,6,3,3,Yes,Extraordinary,6,6,7,6,3,5,4,36,4,6,7,6,3,3,5.5,5.5,0
