pid,recordedDate,surveyDuration,age,gender,ethnicity,birthCountry,residenceCountry,nationality,primaryLanguage,employment,eduLevel,csas,affectiveValence_1,wemwbs_1,wemwbs_2,wemwbs_3,wemwbs_4,wemwbs_5,wemwbs_6,wemwbs_7,wemwbs_8,wemwbs_9,wemwbs_10,wemwbs_11,wemwbs_12,wemwbs_13,wemwbs_14
p0019,2024-04-05T10:52:16Z,464,38,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,90,4,4,3,4,4,4,4,4,3,4,4,4,4,4
p0071,2024-04-20T14:37:57Z,418,41,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",2,39,1,2,1,3,2,3,2,1,1,1,1,2,2,2
p0095,2024-04-12T19:28:40Z,599,38,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,75,5,3,2,3,3,3,3,3,3,4,4,4,4,4
p0116,2024-04-05T12:12:06Z,903,33,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,70,3,4,4,4,5,3,4,4,4,4,4,5,5,3
p0171,2024-04-22T13:40:35Z,587,37,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,57,4,4,4,3,4,3,5,4,4,4,3,4,4,3
p0359,2024-04-23T20:07:30Z,514,19,Man,White,United States,United States,United States,English,Working part-time,Some University but no degree,4,70,4,3,4,3,4,3,4,4,3,5,5,4,4,4
p0367,2024-04-22T12:33:22Z,623,33,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,75,4,3,4,4,2,4,3,5,3,4,4,2,5,3
p0370,2024-04-21T08:48:03Z,2210,49,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,85,3,4,3,3,3,4,3,4,3,3,4,4,4,4
p0371,2024-04-29T14:59:04Z,1003,21,Man,Asian,United States,United States,United States,English,Student,Some University but no degree,5,60,3,4,4,4,4,4,3,4,4,4,3,4,4,4
p0411,2024-04-30T21:36:31Z,2049,41,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,6,60,2,4,1,4,3,3,1,2,1,3,3,3,4,2
p0422,2024-04-22T15:56:12Z,656,34,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,40,4,5,3,4,2,4,3,3,2,4,4,5,3,3
p0423,2024-05-01T22:25:26Z,698,33,Man,White,United States,United States,United States,English,Not currently employed,Some University but no degree,6,24,4,3,5,4,5,4,5,5,3,4,5,3,4,2
p0426,2024-04-21T00:31:18Z,1312,25,Woman,Mixed,United States,United States,United States,Spanish,Working part-time,University Bachelors Degree,4,50,3,2,3,4,3,4,3,3,3,3,3,3,3,2
p0427,2024-04-23T18:40:20Z,823,37,Man,Asian,United States,United States,Philippines,English,Self-employed,Vocational or Similar,6,76,3,3,4,3,2,4,4,4,4,4,3,3,3,3
p0452,2024-04-20T14:43:26Z,339,22,Man,White,United States,United States,United States,English,Working part-time,Some University but no degree,2,36,1,2,1,2,3,1,3,1,2,2,3,1,1,1
p0478,2024-04-05T17:41:27Z,1999,38,Woman,White,United States,United States,United States,English,Working full-time,Some University but no degree,3,30,1,2,2,2,2,2,3,2,2,3,2,2,3,3
p0505,2024-02-12T14:26:11Z,754,39,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,80,4,4,3,4,5,4,4,4,3,4,4,3,5,4
p0507,2024-02-12T18:15:37Z,587,37,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,100,5,5,5,5,5,5,5,5,5,5,5,5,5,5
p0511,2024-02-12T16:33:14Z,384,20,Man,Asian,United States,United States,United States,English,Not currently employed,Completed Secondary School,10,100,5,4,4,4,4,4,4,4,4,4,4,4,1,4
