RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
1,Control,21,Third,no,1,pre,6.125,3.2,1,2.3333333333333335,2.25,3.9,2,3,1
1,Control,21,Third,no,1,post,6,3.8,1.2,3.3333333333333335,1.7,3.8,2,3,2
2,Direct,19,First,no,1,pre,5.25,3,1.8,3.3333333333333335,1.9,5.15,2,2,4
2,Direct,19,First,no,1,post,6,3.2,1,4,1.6,5.2631578947368425,1,4,4
3,Indirect,18,First,no,1,pre,5.375,2.8,1.6,2.6666666666666665,2.25,4.1,4,3,3
3,Indirect,18,First,no,1,post,5.375,3,1.6,3.3333333333333335,2.25,4.15,3,4,3
4,Control,18,First,no,1,pre,6.375,4.2,1.8,3,1.75,4.65,2,5,3
4,Control,18,First,no,1,post,6.375,3.8,1.6,3,2.05,5.1,2,5,3
5,Direct,19,First,no,1,pre,5.875,3.4,2.2,2.6666666666666665,2.85,3.65,3,4,4
5,Direct,19,First,no,1,post,5.875,4,1.6,2.6666666666666665,2.7,3.6,4,4,2
6,Indirect,20,Second,no,1,pre,6.125,4.2,2,3,2.7,4.35,4,2,4
6,Indirect,20,Second,no,1,post,5.625,4.4,1.4,3.3333333333333335,2.4,4.65,4,3,4
7,Control,26,Second,yes,1,pre,6.625,4.2,3.6,2.6666666666666665,2.4,4.75,4,5,2
7,Control,26,Second,yes,1,post,6.5,4.6,2.8,3,2.25,4.4,3,5,2
8,Direct,17,First,no,1,pre,5.875,3.4,1.6,3.6666666666666665,2.25,4.6,3,5,3
8,Direct,17,First,no,1,post,6,3.4,1,4,2,4.65,2,5,3
9,Indirect,21,Third,no,1,pre,4.875,3.8,2.8,2.6666666666666665,2.55,4.2,2,3,4
9,Indirect,21,Third,no,1,post,5,3.2,2.8,2.3333333333333335,2.55,4.15,2,4,2
10,Control,22,Fourth,no,1,pre,7,3.8,1.6,5,1.1,5.8,2,5,5
10,Control,22,Fourth,no,1,post,7,2.8,1.4,5,1,5.75,1,5,5
11,Direct,19,Second,no,1,pre,5.875,3.6,1.6,3,2.15,4.4,3,3,4
11,Direct,19,Second,no,1,post,6.25,4,1.2,3.6666666666666665,1.85,4.8,2,3,4
12,Indirect,20,Second,no,1,pre,4.75,2.8,1.8,NA,2.3,4.1,2,2,3
12,Indirect,20,Second,no,1,post,4.625,2.4,1,2.3333333333333335,2.2,4.25,2,3,4
13,Control,19,Second,no,1,pre,6,3.2,1.4,4,1.7,5.4,3,4,3
13,Control,19,Second,no,1,post,6.125,3.2,1.4,4.333333333333333,1.3,5.6,1,5,4
14,Direct,19,Second,no,1,pre,6,3.4,2.2,3.3333333333333335,1.85,5.25,4,3,3
14,Direct,19,Second,no,1,post,6.25,4,1.2,4,1.7,5.35,2,4,3
15,Indirect,21,Third,NA,2,pre,6.75,3.2,1.2,3.6666666666666665,1.4,5.75,3,5,4
15,Indirect,21,Third,NA,2,post,6.75,3,1.6,3.6666666666666665,1.15,5.7,4,4,4
16,Control,17,First,no,2,pre,4.875,2.4,NA,2.3333333333333335,3.05,3.15,2,3,2
16,Control,17,First,no,2,post,4.25,2.2,2.4,1.6666666666666667,3.2,2.6,2,4,2
17,Direct,18,First,no,1,pre,4,2.2,3,2.3333333333333335,2.75,3.5,4,1,2
17,Direct,18,First,no,1,post,4.75,2.8,1.4,2.6666666666666665,2.65,3.5,2,3,3
18,Indirect,18,First,yes,1,pre,6.5,4,1.8,4.333333333333333,1.8,5.05,2,4,3
18,Indirect,18,First,yes,1,post,6,2.2,1,5,1.6,5.05,1,5,4
19,Control,19,Second,no,1,pre,6.25,4.2,1.2,4.333333333333333,1.4,5.15,4,5,4
19,Control,19,Second,no,1,post,6.5,4.6,1,4.666666666666667,1.4,5.55,3,5,5
20,Direct,18,First,yes,1,pre,6.5,3.2,1.8,3.3333333333333335,2.4,4.55,4,5,3
20,Direct,18,First,yes,1,post,6.625,3.6,1.4,3.3333333333333335,2.15,4.7,2,5,4
21,Indirect,19,Second,yes,1,pre,4.5,2.6,2.8,2,3.6,1.85,3,4,1
21,Indirect,19,Second,yes,1,post,4.5,1.8,3,2,3.55,1.8,4,2,1
22,Control,19,Second,no,1,pre,6,3.4,1.8,3.3333333333333335,1.35,5.6,3,4,4
22,Control,19,Second,no,1,post,6.25,3.8,1.8,3.3333333333333335,1.3,5.45,3,4,4
23,Direct,20,First,no,2,pre,5.75,2.6,2.2,3.3333333333333335,2.25,3.3,2,1,2
23,Direct,20,First,no,2,post,5.125,2.4,1,3.6666666666666665,2.35,3.55,1,4,2
24,Indirect,19,First,no,1,pre,4.625,2.6,3,3.3333333333333335,2.65,3.65,5,2,3
24,Indirect,19,First,no,1,post,5.25,2.6,3.2,3.3333333333333335,2.65,3.7,4,2,3
25,Control,20,Third,yes,1,pre,5.875,3.2,1.4,3.3333333333333335,1.65,4.9,2,4,4
25,Control,20,Third,yes,1,post,5.75,3.4,1,3.6666666666666665,1.55,5.45,1,4,4
