RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,S1_1,HO1_1,HO1_2,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,L1_8,L1_9,L1_10,L1_11,L1_12,L1_13,L1_14,L1_15,L1_16,L1_17,L1_18,L1_19,L1_20,PN1_1,PN1_2,PN1_3,PN1_4,PN1_5,PN1_6,PN1_7,PN1_8,PN1_9,PN1_10,HA1_1,HA1_2,HA1_3,HA1_4,SC1_1,SC1_2,SC1_3,SC1_4,SC1_5,SC1_6,SC1_7,SC1_8,SC1_9,SC1_10,SC1_11,SC1_12,SC1_13,SC1_14,SC1_15,SC1_16,SC1_17,SC1_18,SC1_19,SC1_20,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,S2_1,HO2_1,HO2_2,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6,L2_7,L2_8,L2_9,L2_10,L2_11,L2_12,L2_13,L2_14,L2_15,L2_16,L2_17,L2_18,L2_19,L2_20,PN2_1,PN2_2,PN2_3,PN2_4,PN2_5,PN2_6,PN2_7,PN2_8,PN2_9,PN2_10,HA2_1,HA2_2,HA2_3,HA2_4,SC2_1,SC2_2,SC2_3,SC2_4,SC2_5,SC2_6,SC2_7,SC2_8,SC2_9,SC2_10,SC2_11,SC2_12,SC2_13,SC2_14,SC2_15,SC2_16,SC2_17,SC2_18,SC2_19,SC2_20,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F2_8
1,Control,21,3,2,1,2,3,1,3,3,4,3,2,3,1,2,3,4,3,1,3,1,2,3,2,3,2,4,1,1,1,1,4,1,4,3,1,4,3,2,2,1,5,4,5,5,5,2,1,6,5,6,5,2,6,2,4,4,1,3,2,1,6,7,5,5,7,7,6,6,2,3,2,sometimes,rarely,never,rarely,sometimes,sometimes,never,rarely,sometimes,sometimes,rarely,rarely,never,never,sometimes,often,rarely,rarely,sometimes,often,2,1,3,1,4,1,4,4,1,4,4,2,4,1,4,4,4,4,4,2,3,4,4,strongly disagree,strongly disagree,4,2,strongly disagree,3,3,strongly disagree,strongly disagree,2,4,7,5,5,5,6,7,7,6
2,Direct,19,1,2,1,2,4,4,3,2,3,3,4,3,2,2,4,3,2,2,1,2,4,3,3,2,4,3,1,2,3,2,1,3,3,4,1,4,3,3,4,2,5,6,2,4,6,3,1,5,1,4,2,6,1,6,4,6,2,4,6,1,5,7,6,5,5,5,5,4,1,2,4,often,rarely,rarely,sometimes,often,often,never,never,often,often,rarely,rarely,rarely,sometimes,often,often,sometimes,rarely,often,often,1,1,2,1,3,1,3,4,1,4,4,4,4,2,5,strongly agree,strongly disagree,4,strongly agree,2,2,5,strongly disagree,strongly agree,2,strongly agree,2,strongly agree,4,5,2,,5,strongly disagree,6,7,6,6,6,6,6,5
3,Indirect,18,1,2,1,4,3,3,3,3,2,3,3,4,2,3,3,3,2,2,2,2,3,3,4,3,3,3,1,1,3,1,2,4,4,3,1,2,3,3,2,3,3,4,2,3,4,4,3,3,2,5,3,5,3,5,4,5,3,3,4,2,5,5,5,6,6,6,5,5,3,2,3,sometimes,rarely,sometimes,sometimes,sometimes,sometimes,rarely,sometimes,sometimes,sometimes,rarely,rarely,sometimes,rarely,sometimes,sometimes,sometimes,rarely,sometimes,sometimes,2,2,3,1,3,2,4,3,1,2,4,3,3,3,4,4,5,4,4,2,3,4,2,5,3,4,3,5,3,4,2,3,4,3,5,5,5,6,6,6,5,5
4,Control,18,1,2,1,2,1,3,4,2,2,3,4,4,1,3,3,4,2,1,2,2,4,4,3,3,4,3,1,1,5,1,4,3,5,5,3,2,4,3,2,2,4,6,2,5,5,2,2,4,4,5,5,5,2,6,2,6,3,4,4,1,7,6,7,7,7,6,7,4,2,1,3,sometimes,rarely,rarely,rarely,often,sometimes,never,sometimes,often,sometimes,rarely,often,rarely,rarely,sometimes,sometimes,rarely,often,often,sometimes,1,1,5,1,4,3,4,4,2,2,4,2,3,3,5,strongly agree,4,strongly agree,5,2,3,4,strongly disagree,5,2,5,strongly disagree,strongly agree,strongly disagree,5,2,2,4,strongly disagree,7,6,7,7,6,6,7,5
5,Direct,19,1,2,1,3,2,4,2,3,3,3,4,3,2,2,3,2,4,4,4,3,2,2,3,4,3,2,2,3,5,2,3,2,3,4,2,2,3,3,2,2,1,5,2,4,3,2,5,2,5,4,4,5,4,5,5,5,1,5,3,1,5,5,4,6,7,7,7,6,4,2,2,sometimes,often,sometimes,sometimes,often,sometimes,rarely,rarely,sometimes,sometimes,often,often,often,often,sometimes,rarely,rarely,sometimes,sometimes,rarely,1,2,5,2,3,2,4,5,1,3,3,3,2,2,strongly disagree,5,5,4,2,4,5,2,5,4,4,5,2,5,4,5,strongly disagree,3,3,strongly disagree,6,5,4,5,7,7,7,6
6,Indirect,20,2,2,1,4,4,4,4,3,3,3,3,2,2,3,3,2,3,3,3,2,3,2,4,3,2,2,2,1,5,1,3,4,4,4,2,5,4,3,2,3,3,6,4,5,4,1,3,5,2,5,2,4,3,4,2,3,2,3,3,3,7,5,5,7,4,7,7,7,4,3,4,sometimes,sometimes,rarely,rarely,sometimes,rarely,sometimes,sometimes,often,sometimes,sometimes,rarely,rarely,sometimes,sometimes,sometimes,often,sometimes,sometimes,sometimes,2,1,5,1,2,2,5,5,1,5,4,3,3,3,2,strongly agree,3,strongly agree,4,strongly disagree,4,strongly agree,2,4,2,5,2,4,3,5,strongly disagree,2,4,3,7,5,3,4,5,7,7,7
7,Control,26,2,1,1,4,1,2,3,2,1,3,2,3,4,2,3,3,4,2,3,2,2,3,4,3,4,4,4,4,3,3,4,4,5,5,3,4,3,2,3,2,6,5,3,3,5,3,2,5,3,5,4,5,2,5,3,6,2,2,6,2,7,6,6,6,7,7,7,7,3,1,2,sometimes,sometimes,rarely,rarely,sometimes,sometimes,often,rarely,sometimes,sometimes,rarely,rarely,rarely,sometimes,sometimes,often,often,rarely,sometimes,sometimes,3,4,4,2,5,4,5,5,1,4,3,3,3,1,5,4,2,2,3,3,2,4,2,strongly agree,3,5,3,4,3,5,2,3,strongly agree,3,6,6,6,6,7,7,7,7
8,Direct,17,1,2,1,3,1,3,2,3,3,3,4,3,2,3,3,3,2,2,3,3,3,3,2,2,4,3,3,1,4,1,3,2,3,3,1,4,3,4,4,3,4,4,2,5,4,3,2,3,2,4,3,4,2,5,2,5,2,2,5,1,6,6,4,6,6,6,7,6,2,1,3,sometimes,rarely,sometimes,rarely,often,sometimes,rarely,sometimes,sometimes,sometimes,rarely,rarely,rarely,rarely,sometimes,sometimes,rarely,rarely,often,sometimes,1,1,3,1,3,1,3,4,1,4,4,4,4,3,4,5,2,5,4,3,3,5,2,4,3,4,2,5,3,5,2,2,5,strongly disagree,6,6,4,6,6,7,7,6
9,Indirect,21,3,2,1,2,3,4,3,4,3,4,4,3,2,3,2,3,2,1,4,3,3,3,4,2,3,2,2,2,4,2,4,5,4,3,3,4,3,2,3,3,3,4,2,3,5,3,5,4,4,4,4,5,2,6,4,5,2,3,6,2,5,6,6,6,4,3,4,5,2,2,2,sometimes,often,often,often,often,sometimes,never,sometimes,sometimes,sometimes,sometimes,never,sometimes,sometimes,rarely,rarely,sometimes,rarely,sometimes,rarely,2,1,3,2,3,4,3,4,5,3,2,2,3,4,4,4,strongly disagree,2,4,3,4,4,4,5,5,4,3,strongly agree,4,5,strongly disagree,3,5,2,4,6,6,6,5,4,4,5
10,Control,22,4,2,1,2,1,5,4,1,1,1,4,4,1,2,4,4,1,1,1,1,4,4,2,1,4,4,1,1,3,1,3,4,5,5,1,3,5,5,5,1,5,4,1,6,6,1,1,6,1,6,1,6,1,5,1,6,1,1,6,1,7,7,7,7,7,7,7,7,1,1,5,often,never,never,never,often,often,never,never,often,often,never,never,never,never,often,often,never,never,often,often,1,1,3,1,3,3,3,2,1,3,5,5,5,1,strongly agree,4,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,strongly disagree,5,2,5,strongly disagree,strongly agree,strongly disagree,strongly disagree,strongly agree,strongly disagree,7,7,7,7,7,7,7,7
