Code,QRPs_Acceptance_Time1_mean
AD03,5.818181818181818
AD05,6.090909090909091
Ab01,6.2727272727272725
Al05,5.7272727272727275
Am05,5.7272727272727275
BA04,4.363636363636363
BA05,5.545454545454546
BB05,6.181818181818182
BO02,6.454545454545454
BR11,5.818181818181818
Ba01,5.7272727272727275
Be07,6.636363636363637
Be10,4.363636363636363
Bi07,6.090909090909091
Bo06,5.636363636363637
CA02,6.545454545454546
CH09,4.909090909090909
Ch04,5.636363636363637
Ch07,6.363636363636363
DA10,6.090909090909091
Du08,4.2727272727272725
ED01,6.181818181818182
EM01,5.909090909090909
ER06,6.2727272727272725
El04,5.545454545454546
Fa12,6.090909090909091
Gi02,6.090909090909091
HA02,5.2727272727272725
HP08,6.181818181818182
HU05,7
Ha09,6
He04,5.363636363636363
Hi05,5.2727272727272725
Jo05,5.7272727272727275
KF08,6.454545454545454
Ko05,6.454545454545454
Ko06,6.636363636363637
Ku07,5.545454545454546
LA06,6.545454545454546
LI12,6.909090909090909
Ly01,5.454545454545454
MA07,4.454545454545454
MA08,5.363636363636363
MC09,6.636363636363637
MC12,4.636363636363637
MU06,5.090909090909091
MU10,6.454545454545454
Ma02,5.090909090909091
Ma03,4.545454545454546
Mc00,4.636363636363637
Mi02,4.545454545454546
Mu12,5
OL09,5.363636363636363
Oh11,6.2727272727272725
Ol08,6
Or05,6.2727272727272725
PL06,4.7272727272727275
Pa02,4.818181818181818
Po02,5.454545454545454
Pr10,5.7272727272727275
RO08,5.454545454545454
RU09,6.363636363636363
SA04,6.363636363636363
SE02,5.181818181818182
SH05,6
SK03,6.545454545454546
SK12,6.636363636363637
SM95,5.2727272727272725
SU12,6.636363636363637
Sa12,5.363636363636363
Se08,5
Sh03,5.363636363636363
Sh04,5.636363636363637
St01,6.2727272727272725
St10,5.636363636363637
Su01,5.636363636363637
TU09,4.454545454545454
Tr10,5.909090909090909
Vi06,5.454545454545454
WA05,5.636363636363637
Wa01,4.818181818181818
Wa06,6.181818181818182
Wo10,6.909090909090909
Yu05,5.7272727272727275
ab12,5
bl11,7
fu06,6.636363636363637
ma01,6.181818181818182
su05,5.545454545454546
